Title,Good,Bad
The Witcher 3: Wild Hunt,342451,120639
Half-Life,51256,20980
Counter-Strike: Source,47981,15991
Half-Life 2: Episode Two,15252,6539
Portal 2,181334,44434
X Rebirth,16913,14711
Garry's Mod,382968,135225
Sid Meier's Civilization V,178067,62745
Dead by Daylight,304191,236504
Sid Meier's Civilization VI,168088,81210
Subnautica,275183,111885
Human: Fall Flat,36228,14560
Beat Saber,65436,21649
Cold Waters,8441,4473
Banished,71175,38657
Celeste,48202,18497
Getting Over It with Bennett Foddy,23374,24570
A Hat in Time,83176,23113
Overcooked! 2,12827,4805
Slipstream,3363,1155
The Forest,209870,112474
Pogostuck: Rage With Your Friends,1588,1520
PC Building Simulator,29465,9229
RollerCoaster Tycoon World,10190,8560
NBA 2K18,8127,8297
NBA 2K21,4865,4495
Deus Ex: The Fall,7509,7156
Rapture Rejects,2668,1432
Artifact,33433,16770
Call of Duty: Infinite Warfare,32215,21551
Cube World,42217,28581
NBA 2K19,7830,6770
Nether,25558,23939
Wolfenstein: Youngblood,13382,11040
"Warhammer 40,000: Dawn of War III",51435,30681
Takedown: Red Sabre,6167,6261
ATLAS,53468,46866
Stay Out,3788,3761
Identity,2332,2305
Umbrella Corps,3075,2794
Hunt Down The Freeman,3200,3350
WWE 2K20,3812,4304
Down To One,1850,1538
Axiom Verge,15981,6863
Guacamelee! Super Turbo Championship Edition,8173,3552
The Binding of Isaac: Rebirth,96729,46688
To the Moon,58161,20847
Cave Story+,15603,6657
Titan Souls,10970,8882
Shovel Knight: Treasure Trove,36807,13440
Super Meat Boy,28844,17731
Don't Escape: 4 Days to Survive,3010,853
Volgarr the Viking,4984,3847
Momodora: Reverie Under the Moonlight,17317,9180
Enter the Gungeon,62971,31886
Shadow Complex Remastered,1864,1019
Salt and Sanctuary,19871,16053
20XX,12446,5147
Hollow Knight,338466,165012
The End Is Nigh,4879,2540
Factorio,131085,49995
RimWorld,133880,79793
Insurgency: Sandstorm,101005,48986
Slay the Spire,93533,31033
Euro Truck Simulator 2,137621,36154
Wallpaper Engine,92108,15799
Pathfinder: Kingmaker,67594,51047
Farming Simulator 19,25598,8191
Foundation,12464,4690
GOD EATER 3,7304,4150
Kenshi,67593,48454
Into the Breach,27669,13821
Warhammer: Vermintide 2,89279,59485
A Way Out,9445,3399
Borderlands 3,81073,45614
Sekiro™: Shadows Die Twice,91182,64907
Total War: THREE KINGDOMS,46157,18765
DEATH STRANDING,53769,29257
MORDHAU,115952,74679
DOOM Eternal,177643,166625
Age of Empires: Definitive Edition,6437,3385
A Short Hike,13218,2297
The Henry Stickmin Collection,26414,7279
Crusader Kings III,49509,21570
Void Bastards,9672,6351
Stardew Valley,338969,92188
Tom Clancy's Rainbow Six Siege,496345,257341
Among Us,322534,123201
三国群英传8 Heroes of the Three Kingdoms 8,54,42
Blackwake,23132,12074
Little Nightmares,25329,13794
Bomber Crew,15730,10943
Neon Hardcorps,69,83
Dragon Cliff 龙崖,2271,1169
DRAGON BALL FighterZ,39965,15141
X-Blades,3445,3518
Rust,428930,298753
Nova Drift,7335,2637
Due Process,7326,3492
Far Cry 5,104724,80097
Raft,73989,30568
HITMAN™ 2,46258,19161
Assassin's Creed Odyssey,93629,42072
Hades,165513,48081
Phasmophobia,181783,109470
Helltaker,59175,27027
Mount & Blade: Warband,111207,45327
Totally Accurate Battle Simulator,43098,12121
People Playground,18914,9429
Doki Doki Literature Club,141586,76215
Resident Evil 2,85183,45065
Slime Rancher,80725,30926
Hotline Miami,66077,43339
Tomb Raider,161225,60641
Mirror,10775,4843
BattleBlock Theater,49041,18590
Dishonored,97390,44541
South Park™: The Stick of Truth™,61637,21856
Undertale,215905,98367
Don't Starve,74341,40103
Rocket League,384321,143643
Persona 4 Golden,67824,26046
Dead Cells,64087,34632
OneShot,33815,11671
VA-11 Hall-A: Cyberpunk Bartender Action,32738,10451
Broforce,35816,17598
The Wolf Among Us,48322,19704
The Walking Dead,63477,31514
Divinity: Original Sin 2,162294,69633
Satisfactory,55201,18665
One Finger Death Punch,28055,14768
Bloons TD 6,53793,14304
Oxygen Not Included,56465,26592
Cuphead,76468,40429
ULTRAKILL,10534,6636
Baba Is You,13932,5610
Castle Crashers,56537,18665
Townscaper,11419,2421
"Papers, Please",51021,23856
Senren＊Banka,1142,327
GRIS,40520,10988
DUSK,30925,14783
Outlast,43360,36304
The Elder Scrolls V: Skyrim,281485,119731
The Room,24839,7664
FTL: Faster Than Light,102416,55131
There Is No Game: Wrong Dimension,6568,2125
Dying Light,169149,111621
American Truck Simulator,75122,18953
Saints Row: The Third,48423,23201
STAR WARS™ Empire at War: Gold Pack,28615,8615
Ori and the Will of the Wisps,47254,19101
BeamNG.drive,64651,22265
The Room Two,18670,5719
Age of Empires II (2013),67498,18562
Ravenfield,40442,11726
Super Hexagon,25638,13968
BioShock Infinite,146742,60162
Just Shapes & Beats,10717,3146
DOOM,201975,147463
Black Mesa,99489,32853
Finding Paradise,13221,4457
Tabletop Simulator,42886,11277
Keep Talking and Nobody Explodes,11533,5730
Duck Game,18646,28393
STEINS;GATE,7430,3770
Danganronpa: Trigger Happy Havoc,27787,16330
Mark of the Ninja,29384,12006
Phoenix Wright: Ace Attorney Trilogy,7309,3086
Batman: Arkham Asylum GOTY Edition,43380,17653
Gunpoint,27727,9687
The Binding of Isaac,47058,29554
Danganronpa 2: Goodbye Despair,17651,9413
HuniePop,36839,16096
Grimm's Hollow,10155,3144
Grand Theft Auto V,468357,281866
PLAYERUNKNOWN'S BATTLEGROUNDS,484498,422683
Monster Hunter: World,232016,156815
The Elder Scrolls Online,137949,64569
Total War: WARHAMMER II,111511,42738
Cities: Skylines,147347,55624
Assassin's Creed Origins,63112,30852
Stellaris,160372,84358
Black Desert Online,68057,39897
Kingdom Come: Deliverance,155705,108599
Jurassic World Evolution,61788,28753
ARK: Survival Evolved,436109,279800
No Man's Sky,367752,221966
SCUM,55353,37310
Frostpunk,67603,35273
Tom Clancy's Ghost Recon® Wildlands,57127,36521
FINAL FANTASY XV WINDOWS EDITION,48973,27943
Fallout 4,408115,328764
DARK SOULS™ III,185630,146249
Rise of the Tomb Raider,83418,32780
Sword Art Online: Fatal Bullet,15409,9416
The Crew 2,21538,10323
DARK SOULS™: REMASTERED,41868,34454
Middle-earth™: Shadow of War™,78320,55322
Watch_Dogs 2,39376,20093
Pillars of Eternity II: Deadfire,30106,14292
Hearts of Iron IV,112759,52284
They Are Billions,52342,39321
Total War Saga: Thrones of Britannia,23748,12948
Don't Starve Together,117006,54240
Total War: ROME II - Emperor Edition,78528,43731
Call of Duty: WWII,39228,28768
BATTLETECH,75113,44708
Terraria,565661,160351
PAYDAY 2,328473,182107
XCOM 2,115367,86687
Deep Rock Galactic,118315,45781
The Sims(TM) 3,25045,13447
Hunt: Showdown,122834,84596
theHunter: Call of the Wild™,61730,30272
Conan Exiles,114287,70513
Two Point Hospital,33379,11855
Total War: WARHAMMER,100088,51209
The Elder Scrolls V: Skyrim Special Edition,145524,60341
Darkest Dungeon®,131825,123581
NieR:Automata™,115050,60303
Bless Online,22776,19397
Football Manager 2019,6941,3240
House Flipper,43884,17644
Surviving Mars,27991,14824
SOULCALIBUR VI,18360,8547
For Honor,110856,78587
Arma 3,168351,75595
Ni no Kuni™ II: Revenant Kingdom,17422,9589
SOS,4655,3368
Battle Royale Trainer,650,273
My Time At Portia,42654,16597
Iconoclasts,9859,5049
Railway Empire,11930,5677
Trailmakers,8006,2853
Staxel,8772,3625
BATTALION 1944,24680,13808
The Legend of Heroes: Trails of Cold Steel II,4321,2263
Rise of Industry,7831,3522
CHRONO TRIGGER,8562,4194
Freeman: Guerrilla Warfare,17325,8907
Dungreed,2991,1461
Puyo Puyo™Tetris® ,5281,2379
Secret of Mana,8930,6389
Farm Together,9647,2768
Cyberdimension Neptunia: 4 Goddesses Online,4950,3058
Fishing: Barents Sea,3103,1423
DYNASTY WARRIORS 9,6682,5194
We Were Here Too,4709,2027
METAL GEAR SURVIVE,14129,10993
Desolate,7534,5815
Eco,11849,5912
SENRAN KAGURA Peach Beach Splash,2775,1576
PixARK,8464,5758
Out of the Park Baseball 19,2218,694
Devil May Cry HD Collection,5408,4227
Heroes of Hammerwatch,9616,4744
Ghost of a Tale,9069,3663
Monster Prom,15607,6551
Farm Manager 2018,2604,1829
Rules Of Survival,2462,3206
STEINS;GATE 0,2829,1447
Ancestors Legacy,8568,4299
FAR: Lone Sails,12606,3826
Crash Bandicoot™ N. Sane Trilogy,14329,9075
Budget Cuts,3889,2584
Totally Accurate Battlegrounds,30276,16862
Vampyr,35742,27103
Clicker Heroes 2,4088,1837
Yakuza 0,49939,22886
WWE 2K19,3417,2371
"Warhammer 40,000: Mechanicus",21550,10129
Thief Simulator,7827,4132
Darksiders III,23360,19328
Mutant Year Zero: Road to Eden,31496,15968
Kingdom Two Crowns,8229,4923
Just Cause 4,28809,24012
Planet Coaster,62042,22516
Nioh: Complete Edition,27198,21672
Europa Universalis IV,93362,43218
FINAL FANTASY XII THE ZODIAC AGE,11431,5069
Just Cause 3,88457,61775
FINAL FANTASY XIV Online,64724,26803
Resident Evil 7 Biohazard,48550,34328
Torment: Tides of Numenera,18352,11352
Detention,7197,4031
Pit People,12145,4955
Tales of Berseria,28031,14911
Urban Empire,3521,2639
Avorion,17864,8521
Youtubers Life,13212,7096
Night in the Woods,30823,13677
Golf It!,8280,3466
Northgard,49045,17921
BERSERK and the Band of the Hawk,3590,2750
The Wild Eight,5077,3582
Sniper Elite 4,24781,11211
For The King,21375,12028
WWE 2K17,2431,1989
Fairy Fencer F Advent Dark Force,2343,1375
Day of Infamy,32455,15231
SENRAN KAGURA ESTIVAL VERSUS,3291,1592
Streets of Rogue,18768,9325
Ultimate Marvel vs. Capcom 3,4362,1656
SimAirport,6125,3104
Thimbleweed Park,7981,3394
Toukiden 2,2797,1858
Dead Rising 4,6165,6648
X-Plane 11,12864,3587
Styx: Shards of Darkness,7884,5260
Train Sim World® 2020,10347,5085
DRAGON QUEST HEROES™ II,1659,1069
Steel Division: Normandy 44,12149,7394
DiRT 4,16074,12734
Half-Life: Alyx,100020,35282
