Title,Good,Bad
The Witcher 3: Wild Hunt,325595,120639
Half-Life,48887,20980
Counter-Strike: Source,46697,15991
Half-Life 2: Episode Two,14619,6539
Portal 2,173634,44434
X Rebirth,16113,14711
Garry's Mod,371678,135225
Sid Meier's Civilization V,168737,62745
Dead by Daylight,294586,236506
Sid Meier's Civilization VI,160546,81210
Subnautica,261012,111885
Human: Fall Flat,35141,14560
Beat Saber,63167,21649
Cold Waters,8017,4473
Banished,67894,38657
Celeste,45440,18497
Getting Over It with Bennett Foddy,22500,24570
A Hat in Time,80266,23113
Overcooked! 2,12390,4805
Slipstream,3249,1155
The Forest,203660,112474
Pogostuck: Rage With Your Friends,1525,1520
PC Building Simulator,28576,9229
RollerCoaster Tycoon World,9821,8560
NBA 2K18,7922,8297
NBA 2K21,4756,4495
Deus Ex: The Fall,7094,7156
Rapture Rejects,2610,1432
Artifact,32228,16770
Call of Duty: Infinite Warfare,31360,21551
Cube World,41170,28581
NBA 2K19,7651,6770
Nether,24990,23939
Wolfenstein: Youngblood,12976,11040
"Warhammer 40,000: Dawn of War III",48945,30681
Takedown: Red Sabre,5979,6261
ATLAS,51873,46866
Stay Out,3701,3761
Identity,2262,2305
Umbrella Corps,2980,2794
Hunt Down The Freeman,3083,3350
WWE 2K20,3666,4304
Down To One,1803,1538
Axiom Verge,15138,6863
Guacamelee! Super Turbo Championship Edition,7808,3552
The Binding of Isaac: Rebirth,91282,46688
To the Moon,55251,20847
Cave Story+,14857,6657
Titan Souls,10370,8882
Shovel Knight: Treasure Trove,35019,13440
Super Meat Boy,27126,17731
Don't Escape: 4 Days to Survive,2823,853
Volgarr the Viking,4742,3847
Momodora: Reverie Under the Moonlight,16536,9180
Enter the Gungeon,59510,31886
Shadow Complex Remastered,1797,1019
Salt and Sanctuary,18765,16053
20XX,11819,5147
Hollow Knight,316892,165012
The End Is Nigh,4659,2540
Factorio,123912,49995
RimWorld,127579,79793
Insurgency: Sandstorm,97001,48986
Slay the Spire,86695,31033
Euro Truck Simulator 2,133522,36154
Wallpaper Engine,88685,15800
Pathfinder: Kingmaker,64610,51049
Farming Simulator 19,24890,8191
Foundation,12023,4690
GOD EATER 3,7023,4150
Kenshi,64384,48454
Into the Breach,25951,13821
Warhammer: Vermintide 2,85475,59485
A Way Out,9049,3399
Borderlands 3,76981,45614
Sekiro™: Shadows Die Twice,86082,64907
Total War: THREE KINGDOMS,43426,18765
DEATH STRANDING,50698,29257
MORDHAU,112184,74679
DOOM Eternal,170450,166625
Age of Empires: Definitive Edition,6194,3385
A Short Hike,12974,2297
The Henry Stickmin Collection,24914,7279
Crusader Kings III,47593,21570
Void Bastards,9206,6351
Stardew Valley,324617,92189
Tom Clancy's Rainbow Six Siege,474772,257341
Among Us,310573,123202
三国群英传8 Heroes of the Three Kingdoms 8,53,42
Blackwake,22478,12074
Little Nightmares,24132,13794
Bomber Crew,15067,10943
Neon Hardcorps,68,83
Dragon Cliff 龙崖,2162,1169
DRAGON BALL FighterZ,37913,15141
X-Blades,3353,3518
Rust,415624,298753
Nova Drift,6920,2637
Due Process,7042,3492
Far Cry 5,101757,80097
Raft,71697,30568
HITMAN™ 2,43962,19161
Assassin's Creed Odyssey,89966,42072
Hades,155638,48081
Phasmophobia,175575,109470
Helltaker,57024,27027
Mount & Blade: Warband,106191,45327
Totally Accurate Battle Simulator,41442,12121
People Playground,18174,9429
Doki Doki Literature Club,136460,76215
Resident Evil 2,81363,45065
Slime Rancher,78452,30926
Hotline Miami,62406,43339
Tomb Raider,155054,60648
Mirror,10306,4843
BattleBlock Theater,47428,18590
Dishonored,93310,44541
South Park™: The Stick of Truth™,56955,21856
Undertale,203889,98367
Don't Starve,69973,40103
Rocket League,359015,143643
Persona 4 Golden,65035,26046
Dead Cells,60814,34632
OneShot,32258,11672
VA-11 Hall-A: Cyberpunk Bartender Action,31312,10451
Broforce,34324,17598
The Wolf Among Us,45457,19704
The Walking Dead,58909,31514
Divinity: Original Sin 2,153482,69633
Satisfactory,52099,18665
One Finger Death Punch,26427,14768
Bloons TD 6,51078,14304
Oxygen Not Included,53468,26592
Cuphead,71683,40429
ULTRAKILL,10119,6636
Baba Is You,13079,5610
Castle Crashers,54381,18665
Townscaper,11180,2421
"Papers, Please",48067,23856
Senren＊Banka,1097,327
GRIS,38508,10988
DUSK,29682,14783
Outlast,41655,36304
The Elder Scrolls V: Skyrim,268619,119731
The Room,23618,7664
FTL: Faster Than Light,95879,55131
There Is No Game: Wrong Dimension,6339,2125
Dying Light,162990,111621
American Truck Simulator,72992,18953
Saints Row: The Third,46975,23201
STAR WARS™ Empire at War: Gold Pack,27223,8615
Ori and the Will of the Wisps,45456,19101
BeamNG.drive,63071,22265
The Room Two,17822,5719
Age of Empires II (2013),64568,18562
Ravenfield,37657,11726
Super Hexagon,23584,13968
BioShock Infinite,140408,60166
Just Shapes & Beats,10241,3146
DOOM,194737,147463
Black Mesa,95292,32853
Finding Paradise,12821,4458
Tabletop Simulator,42026,11277
Keep Talking and Nobody Explodes,11095,5730
Duck Game,18142,28393
STEINS;GATE,7068,3770
Danganronpa: Trigger Happy Havoc,26435,16330
Mark of the Ninja,28204,12006
Phoenix Wright: Ace Attorney Trilogy,6934,3086
Batman: Arkham Asylum GOTY Edition,41430,17653
Gunpoint,26811,9687
The Binding of Isaac,43757,29554
Danganronpa 2: Goodbye Despair,16958,9413
HuniePop,34980,16096
Grimm's Hollow,9916,3144
Grand Theft Auto V,455498,281866
PLAYERUNKNOWN'S BATTLEGROUNDS,469680,422684
Monster Hunter: World,220489,156815
The Elder Scrolls Online,132497,64569
Total War: WARHAMMER II,103842,42738
Cities: Skylines,141649,55624
Assassin's Creed Origins,60631,30852
Stellaris,153185,84358
Black Desert Online,65985,39897
Kingdom Come: Deliverance,148110,108600
Jurassic World Evolution,59088,28753
ARK: Survival Evolved,422807,279800
No Man's Sky,354336,221966
SCUM,53890,37310
Frostpunk,63319,35273
Tom Clancy's Ghost Recon® Wildlands,55573,36521
FINAL FANTASY XV WINDOWS EDITION,47060,27943
Fallout 4,391974,328766
DARK SOULS™ III,173979,146249
Rise of the Tomb Raider,80583,32781
Sword Art Online: Fatal Bullet,14684,9416
The Crew 2,21035,10323
DARK SOULS™: REMASTERED,39642,34454
Middle-earth™: Shadow of War™,75005,55322
Watch_Dogs 2,38275,20093
Pillars of Eternity II: Deadfire,28558,14292
Hearts of Iron IV,107935,52284
They Are Billions,49702,39321
Total War Saga: Thrones of Britannia,22523,12948
Don't Starve Together,111700,54240
Total War: ROME II - Emperor Edition,74321,43731
Call of Duty: WWII,38159,28768
BATTLETECH,71095,44708
Terraria,539529,160351
PAYDAY 2,316735,182107
XCOM 2,109737,86687
Deep Rock Galactic,109908,45781
The Sims(TM) 3,24367,13447
Hunt: Showdown,116175,84596
theHunter: Call of the Wild™,60041,30272
Conan Exiles,110756,70513
Two Point Hospital,31987,11855
Total War: WARHAMMER,92881,51209
The Elder Scrolls V: Skyrim Special Edition,140322,60341
Darkest Dungeon®,124409,123581
NieR:Automata™,109488,60305
Bless Online,22234,19397
Football Manager 2019,6596,3240
House Flipper,42620,17644
Surviving Mars,26822,14824
SOULCALIBUR VI,17500,8547
For Honor,106977,78587
Arma 3,162554,75595
Ni no Kuni™ II: Revenant Kingdom,16714,9589
SOS,4487,3368
Battle Royale Trainer,638,273
My Time At Portia,41008,16597
Iconoclasts,9397,5049
Railway Empire,11458,5677
Trailmakers,7806,2853
Staxel,8531,3625
BATTALION 1944,24129,13808
The Legend of Heroes: Trails of Cold Steel II,4115,2263
Rise of Industry,7528,3522
CHRONO TRIGGER,8163,4194
Freeman: Guerrilla Warfare,16749,8907
Dungreed,2862,1461
Puyo Puyo™Tetris® ,5112,2379
Secret of Mana,8594,6389
Farm Together,9380,2768
Cyberdimension Neptunia: 4 Goddesses Online,4685,3058
Fishing: Barents Sea,3019,1423
DYNASTY WARRIORS 9,6310,5194
We Were Here Too,4538,2027
METAL GEAR SURVIVE,13710,10993
Desolate,7297,5815
Eco,11505,5912
SENRAN KAGURA Peach Beach Splash,2642,1576
PixARK,8290,5758
Out of the Park Baseball 19,2104,694
Devil May Cry HD Collection,5162,4227
Heroes of Hammerwatch,9199,4744
Ghost of a Tale,8728,3663
Monster Prom,15140,6551
Farm Manager 2018,2532,1829
Rules Of Survival,2425,3206
STEINS;GATE 0,2716,1447
Ancestors Legacy,8177,4299
FAR: Lone Sails,12113,3826
Crash Bandicoot™ N. Sane Trilogy,13800,9075
Budget Cuts,3742,2584
Totally Accurate Battlegrounds,29476,16862
Vampyr,34345,27103
Clicker Heroes 2,3969,1837
Yakuza 0,47628,22886
WWE 2K19,3328,2371
"Warhammer 40,000: Mechanicus",20346,10129
Thief Simulator,7600,4132
Darksiders III,22160,19328
Mutant Year Zero: Road to Eden,30039,15968
Kingdom Two Crowns,7930,4923
Just Cause 4,27885,24012
Planet Coaster,59778,22516
Nioh: Complete Edition,25811,21672
Europa Universalis IV,88841,43218
FINAL FANTASY XII THE ZODIAC AGE,10901,5069
Just Cause 3,86358,61775
FINAL FANTASY XIV Online,62165,26803
Resident Evil 7 Biohazard,46371,34328
Torment: Tides of Numenera,17281,11352
Detention,6799,4031
Pit People,11601,4955
Tales of Berseria,26796,14911
Urban Empire,3411,2639
Avorion,17240,8521
Youtubers Life,12775,7096
Night in the Woods,29667,13678
Golf It!,8067,3466
Northgard,46832,17921
BERSERK and the Band of the Hawk,3247,2750
The Wild Eight,4940,3582
Sniper Elite 4,24057,11211
For The King,20447,12028
WWE 2K17,2340,1989
Fairy Fencer F Advent Dark Force,2244,1375
Day of Infamy,31214,15231
SENRAN KAGURA ESTIVAL VERSUS,3079,1592
Streets of Rogue,17896,9325
Ultimate Marvel vs. Capcom 3,4201,1656
SimAirport,5917,3104
Thimbleweed Park,7631,3394
Toukiden 2,2699,1858
Dead Rising 4,5970,6648
X-Plane 11,12497,3587
Styx: Shards of Darkness,7619,5260
Train Sim World® 2020,9925,5085
DRAGON QUEST HEROES™ II,1581,1069
Steel Division: Normandy 44,11551,7394
DiRT 4,15521,12734
Half-Life: Alyx,94607,35282
